<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170516,000000,61.8710000,63.0390000,61.7140000,62.6370000,298501
20170517,000000,62.6390000,64.0870000,62.5840000,63.6600000,333457
20170518,000000,63.6610000,64.6830000,63.5250000,63.8350000,381909
20170519,000000,63.8350000,63.9520000,63.3690000,63.5630000,316621
20170520,000000,63.9160000,63.9160000,63.5620000,63.7591000,17
20170521,000000,63.4990000,63.6430000,63.2283000,63.4944000,147
20170522,000000,63.5890000,63.9910000,63.0180000,63.3283000,295007
20170523,000000,63.4180000,63.8010000,62.8430000,63.0790000,318930
20170524,000000,63.1410000,63.4162000,62.7880000,63.3191000,319880
20170525,000000,63.2850000,63.9010000,62.8610000,63.7060000,327918
20170526,000000,63.8090000,63.9460000,63.0020000,63.1489000,87070
20170527,000000,63.1910000,63.1960000,63.0403000,63.1960000,13
20170528,000000,63.0203000,64.0340000,62.9755000,63.9947000,114
20170529,000000,64.0230000,64.0230000,62.8550000,62.9950000,188775
20170530,000000,63.0570000,63.5750000,62.6980000,63.2683000,289409
20170531,000000,63.2840000,63.9530000,63.0160000,63.5850000,287644
20170601,000000,63.6380000,63.7530000,62.8630000,63.1932000,283814
20170602,000000,63.2070000,63.9700000,62.9950000,63.8786000,241974
20170603,000000,63.9120000,63.9120000,63.7160000,63.8435000,13
20170604,000000,63.7880000,64.0220000,63.7540000,63.7880000,302
20170605,000000,64.0140000,64.0750000,63.1030000,63.6940000,248468
20170606,000000,63.7050000,63.9240000,63.3880000,63.6160000,270376
20170607,000000,63.7040000,64.4290000,63.4350000,64.1700000,265126
20170608,000000,64.2320000,64.3895000,63.6120000,63.6300000,246221
20170609,000000,63.8190000,63.9204000,63.5270000,63.8021000,250629
20170610,000000,63.8330000,63.8480000,63.5611000,63.8480000,12
20170611,000000,63.6407000,63.8700000,63.6208000,63.8400000,277
20170612,000000,63.8260000,64.1480000,63.6450000,63.8330000,130683
20170613,000000,63.9320000,63.9773000,63.5320000,63.8490000,192244
20170614,000000,63.9060000,64.6810000,63.6840000,64.1242000,164475
20170615,000000,64.1170000,64.5920000,63.2223000,64.3900000,141603
20170616,000000,64.4730000,64.6950000,63.9560000,64.3460000,116990
20170617,000000,64.5490000,64.6680000,64.2683000,64.6050000,18
20170618,000000,64.6020000,64.7330000,64.2904000,64.6620000,146
20170619,000000,64.6510000,65.3120000,64.1452000,65.1637000,92762
20170620,000000,65.1710000,66.5350000,64.7650000,66.2520000,128041
20170621,000000,66.2980000,67.3610000,66.0930000,67.2858000,123340
20170622,000000,67.3140000,67.4220000,66.5250000,66.8030000,102928
20170623,000000,66.8960000,66.9990000,66.0436000,66.4370000,72055
20170624,000000,66.5350000,66.5350000,66.3189000,66.3397000,16
20170625,000000,66.4800000,66.5720000,66.4380000,66.4800000,142
20170626,000000,66.4760000,66.9170000,65.6110000,65.7094000,98929
20170627,000000,65.7530000,67.4660000,64.6930000,67.2630000,133760
20170628,000000,67.3900000,67.9220000,67.0620000,67.3879000,190167
20170629,000000,67.3910000,68.2440000,67.0610000,67.9060000,179820
20170630,000000,68.0460000,68.7803000,67.0160000,67.1430000,147522
20170701,000000,67.1680000,67.3620000,66.4815000,67.3620000,25
20170702,000000,67.1830000,67.2870000,66.4401000,66.4645000,306
20170703,000000,67.2010000,68.2540000,66.4701000,67.1620000,26079
20170704,000000,67.5060000,68.1241000,67.0920000,67.3720000,82751
20170705,000000,67.4230000,68.3530000,67.1100000,68.0220000,136192
20170706,000000,68.0920000,68.7150000,67.7820000,68.5860000,118081
20170707,000000,68.6770000,69.0820000,68.4310000,68.7652000,141014
20170708,000000,68.8950000,68.8950000,68.6473000,68.6475000,11
20170709,000000,68.6710000,69.0101000,68.6650000,68.7070000,224
20170710,000000,68.7850000,68.9630000,68.4830000,68.5730000,101181
20170711,000000,68.6440000,69.8490000,68.4420000,69.5410000,123015
20170712,000000,69.6060000,69.7750000,68.2060000,68.3570000,147772
20170713,000000,68.4150000,68.9460000,67.4926000,68.1838000,118370
20170714,000000,68.3200000,68.4750000,67.5530000,67.5748000,110558
20170715,000000,67.7110000,67.7200000,67.5512000,67.7001000,15
20170716,000000,67.6222000,67.7840000,67.5728000,67.6500000,255
20170717,000000,67.6650000,68.4810000,67.4570000,68.0504000,96567
20170718,000000,68.0910000,69.4210000,67.6680000,68.4157000,127453
20170719,000000,68.4900000,69.0460000,67.7860000,67.8810000,96608
20170720,000000,67.9110000,68.7950000,67.6050000,68.4557000,125046
20170721,000000,68.4920000,69.2750000,68.3730000,69.1190000,95349
20170722,000000,69.1780000,69.2875000,69.0990000,69.2820000,13
20170723,000000,69.0900000,69.6658000,68.9485000,69.1260000,247
20170724,000000,69.0610000,70.0890000,69.0147000,69.7390000,101303
20170725,000000,69.8740000,70.2580000,69.4710000,69.6750000,134111
20170726,000000,69.7510000,69.9750000,69.2670000,69.6431000,145763
20170727,000000,69.6800000,69.9960000,69.1200000,69.3320000,150471
20170728,000000,69.4830000,70.0710000,69.2400000,69.8995000,122806
20170729,000000,69.9600000,69.9810000,69.7133000,69.7137000,13
20170730,000000,69.8080000,70.3665000,69.8080000,69.8670000,123
20170731,000000,69.8790000,71.0100000,69.7153000,70.6895000,109219
20170801,000000,70.7700000,71.3520000,70.4850000,71.1855000,114572
20170802,000000,71.2420000,72.0940000,70.9930000,71.6540000,137733
20170803,000000,71.7880000,72.0180000,71.2240000,71.5410000,134969
20170804,000000,71.6250000,71.8230000,70.1900000,70.5428000,123548
20170805,000000,70.5150000,70.6120000,70.3445000,70.3445000,13
20170806,000000,70.4230000,70.8000000,70.3254000,70.4590000,320
20170807,000000,70.5383000,71.1840000,70.3940000,70.7755000,28297
20170808,000000,70.8160000,71.0040000,69.9330000,70.3030000,6951
20170809,000000,70.3470000,70.7081000,70.1610000,70.5769000,7239
20170810,000000,70.7470000,70.8110000,69.9630000,70.6940000,7295
20170811,000000,70.7780000,70.9130000,70.4790000,70.6997000,7422
20170812,000000,70.7360000,70.7360000,70.4010000,70.4183000,16
20170813,000000,70.4391000,70.7200000,70.4391000,70.5030000,287
20170814,000000,70.6780000,70.7790000,70.0014000,70.5176000,7628
20170815,000000,70.5900000,70.8021000,69.9610000,70.0348000,7605
20170816,000000,70.0590000,70.2610000,69.3200000,69.8506000,7087
20170817,000000,69.8740000,70.0070000,69.2030000,69.3968000,7165
20170818,000000,69.4280000,69.8700000,69.1730000,69.2747000,7377
20170819,000000,69.3260000,69.3260000,69.0839000,69.3000000,12
20170820,000000,68.9913000,69.4680000,68.9913000,69.2805000,189
20170821,000000,69.3240000,69.8850000,69.0500000,69.8346000,7738
20170822,000000,69.8700000,69.9140000,69.2080000,69.4310000,7209
20170823,000000,69.4950000,69.8710000,69.3240000,69.7005000,7224
20170824,000000,69.7320000,69.9950000,69.5480000,69.7230000,7271
20170825,000000,69.7970000,69.9700000,69.4720000,69.7650000,7095
20170826,000000,69.8510000,69.8690000,69.5855000,69.6410000,24
20170827,000000,69.8210000,70.0660000,69.4720000,69.8761000,381
20170828,000000,69.8850000,70.1520000,69.5470000,69.9714000,6942
20170829,000000,69.9950000,70.9469000,69.8770000,70.3767000,7219
20170830,000000,70.4260000,70.4870000,69.3550000,69.3760000,6629
20170831,000000,69.3550000,69.7207000,68.8230000,69.0380000,6946
20170901,000000,69.1060000,69.2000000,68.0830000,68.0830000,7053
20170902,000000,68.1760000,68.1760000,68.0470000,68.1440000,10
20170903,000000,68.1940000,68.2940000,68.0390000,68.2000000,154
20170904,000000,68.2820000,68.9940000,68.1480000,68.6880000,5829
20170905,000000,68.7930000,69.0720000,68.1172000,68.4310000,6936
20170906,000000,68.4230000,68.6820000,68.2100000,68.3890000,6205
20170907,000000,68.3890000,68.6230000,67.9819000,68.2960000,8931
20170908,000000,68.4080000,69.1290000,68.2960000,68.8760000,9252
20170909,000000,69.0420000,69.0420000,68.8780000,69.0420000,7
20170910,000000,68.9640000,69.0530000,68.8010000,68.8410000,143
20170911,000000,68.8350000,69.0430000,68.2330000,68.2950000,7898
20170912,000000,68.3710000,69.0770000,68.2540000,68.9190000,7209
20170913,000000,68.9950000,69.4310000,68.5520000,68.7899000,8753
20170914,000000,68.8430000,68.9610000,68.0910000,68.4625000,8297
20170915,000000,68.5410000,69.1160000,68.3270000,68.7480000,8783
20170916,000000,68.8260000,69.0430000,68.6123000,69.0430000,11
20170917,000000,68.6270000,68.8480000,68.6070000,68.6070000,103
20170918,000000,68.7030000,69.5060000,68.5445000,69.3520000,9911
20170919,000000,69.3515000,69.9290000,69.3390000,69.6268000,121165
20170920,000000,69.6960000,69.8520000,68.9652000,69.1230000,109161
20170921,000000,69.2880000,69.3780000,68.8330000,69.1210000,120141
20170922,000000,69.2050000,69.3250000,68.1202000,68.6770000,110666
20170923,000000,68.7470000,68.7640000,68.5240000,68.7640000,7
20170924,000000,68.6310000,68.8000000,68.3120000,68.3210000,232
20170925,000000,68.3260000,68.8440000,67.9181000,68.1211000,123591
20170926,000000,68.1560000,68.4760000,67.7715000,68.1660000,133783
20170927,000000,68.2590000,68.5310000,67.9010000,68.2707000,124212
20170928,000000,68.3440000,68.7270000,68.1264000,68.1740000,127182
20170929,000000,68.2740000,68.5020000,67.8250000,67.9566000,129079
20170930,000000,67.9560000,68.1086000,67.8980000,67.9880000,10
20171001,000000,67.9380000,68.0230000,67.7050000,67.8052000,257
20171002,000000,67.7830000,68.1000000,67.0260000,67.7454000,111565
20171003,000000,67.8650000,68.2970000,67.6360000,67.9560000,14975
20171004,000000,67.9702000,68.2680000,67.5902000,67.7555000,73962
20171005,000000,67.8240000,67.8780000,67.1890000,67.5770000,77965
20171006,000000,67.5910000,68.3280000,67.4000000,68.1284000,63227
20171007,000000,68.1730000,68.2062000,68.1380000,68.1560000,8
20171008,000000,68.2570000,68.2570000,67.9608000,67.9617000,146
20171009,000000,68.1610000,68.6390000,67.9810000,68.3750000,83148
20171010,000000,68.2450000,68.6310000,68.0280000,68.3491000,63473
20171011,000000,68.4800000,68.6800000,68.1773000,68.4640000,83141
20171012,000000,68.5170000,68.6590000,68.1370000,68.2395000,109186
20171013,000000,68.2490000,68.4412000,67.4600000,67.6568000,95962
20171014,000000,67.7600000,67.7600000,67.6020000,67.6020000,7
20171015,000000,67.5360000,67.6260000,67.4500000,67.5483000,93
20171016,000000,67.5488000,67.7440000,67.1123000,67.4454000,90860
20171017,000000,67.4790000,67.6300000,67.2420000,67.3942000,91911
20171018,000000,67.3960000,67.7880000,66.7870000,67.6960000,95395
